Combo/MI name	Type	NID
	nhpid_ingredient	30154
	nhpid_ingredient	30155
	nhpid_ingredient	30156
	nhpid_ingredient	30157
	nhpid_ingredient	30158
	nhpid_ingredient	30159
	nhpid_ingredient	30160
	nhpid_ingredient	30161
	nhpid_ingredient	30162
	nhpid_ingredient	30163
	nhpid_ingredient	30164
	nhpid_ingredient	30165
	nhpid_ingredient	30166
	nhpid_ingredient	30167
	nhpid_ingredient	30168
	nhpid_ingredient	30169
	nhpid_ingredient	30170
	nhpid_ingredient	30171
	nhpid_ingredient	30172
	nhpid_ingredient	30173
	nhpid_ingredient	30174
	nhpid_ingredient	30175
	nhpid_ingredient	30176
	nhpid_ingredient	30177
	nhpid_ingredient	30178
	nhpid_ingredient	30179
	nhpid_ingredient	30180
	nhpid_ingredient	30181
	nhpid_ingredient	30182
	nhpid_ingredient	30183
	nhpid_ingredient	30184
	nhpid_ingredient	30185
	nhpid_ingredient	30186
	nhpid_ingredient	30187
	nhpid_ingredient	30188
	nhpid_ingredient	30189
	nhpid_ingredient	30190
	nhpid_ingredient	30191
	nhpid_ingredient	30192
	nhpid_ingredient	30193
	nhpid_ingredient	30194
	nhpid_ingredient	30195
	nhpid_ingredient	30196
	nhpid_ingredient	30197
	nhpid_ingredient	30198
	nhpid_ingredient	30199
	nhpid_ingredient	30200
	nhpid_ingredient	30201
	nhpid_ingredient	30202
	nhpid_ingredient	30203
	nhpid_ingredient	30204
	nhpid_ingredient	30205
	nhpid_ingredient	30206
	nhpid_ingredient	30207
	nhpid_ingredient	30208
	nhpid_ingredient	30209
	nhpid_ingredient	30210
	nhpid_ingredient	30211
	nhpid_ingredient	30212
	nhpid_ingredient	30213
	nhpid_ingredient	30214
	nhpid_ingredient	30215
	nhpid_ingredient	30216
	nhpid_ingredient	30217
	nhpid_ingredient	30218
	nhpid_ingredient	30219
	nhpid_ingredient	30220
	nhpid_ingredient	30221
	nhpid_ingredient	30222
	nhpid_ingredient	30223
	nhpid_ingredient	30224
	nhpid_ingredient	30225
	nhpid_ingredient	30226
	nhpid_ingredient	30227
	nhpid_ingredient	30228
	nhpid_ingredient	30229
	nhpid_ingredient	30230
	nhpid_ingredient	30231
	nhpid_ingredient	30232
	nhpid_ingredient	30233
	nhpid_ingredient	30234
	nhpid_ingredient	30235
	nhpid_ingredient	30236
	nhpid_ingredient	30237
	nhpid_ingredient	30238
	nhpid_ingredient	30239
	nhpid_ingredient	30240
	nhpid_ingredient	30241
	nhpid_ingredient	30242
	nhpid_ingredient	30243
	nhpid_ingredient	30244
	nhpid_ingredient	30245
	nhpid_ingredient	30246
	nhpid_ingredient	30247
	nhpid_ingredient	30248
	nhpid_ingredient	30249
	nhpid_ingredient	30250
	nhpid_ingredient	30251
	nhpid_ingredient	30252
	nhpid_ingredient	30253
	nhpid_ingredient	30254
	nhpid_ingredient	30255
	nhpid_ingredient	30256
	nhpid_ingredient	30257
	nhpid_ingredient	30258
	nhpid_ingredient	30259
	nhpid_ingredient	30260
	nhpid_ingredient	30261
	nhpid_ingredient	30262
	nhpid_ingredient	30263
	nhpid_ingredient	30264
	nhpid_ingredient	30265
	nhpid_ingredient	30266
	nhpid_ingredient	30267
	nhpid_ingredient	30268
	nhpid_ingredient	30269
	nhpid_ingredient	30270
	nhpid_ingredient	30271
	nhpid_ingredient	30272
	nhpid_ingredient	30273
	nhpid_ingredient	30274
	nhpid_ingredient	30275
	nhpid_ingredient	30276
	nhpid_ingredient	30277
	nhpid_ingredient	30278
	nhpid_ingredient	30279
	nhpid_ingredient	30280
	nhpid_ingredient	30281
	nhpid_ingredient	30282
	nhpid_ingredient	30283
	nhpid_ingredient	30284
	nhpid_ingredient	30285
	nhpid_ingredient	30286
	nhpid_ingredient	30287
	nhpid_ingredient	30288
	nhpid_ingredient	30289
	nhpid_ingredient	30290
	nhpid_ingredient	30291
	nhpid_ingredient	30292
	nhpid_ingredient	30293
	nhpid_ingredient	30294
	nhpid_ingredient	30295
	nhpid_ingredient	30296
	nhpid_ingredient	30297
	nhpid_ingredient	30298
	nhpid_ingredient	30299
	nhpid_ingredient	30300
	nhpid_ingredient	30301
	nhpid_ingredient	30302
	nhpid_ingredient	30303
	nhpid_ingredient	30304
	nhpid_ingredient	30305
	nhpid_ingredient	30306
	nhpid_ingredient	30307
	nhpid_ingredient	30308
	nhpid_ingredient	30309
	nhpid_ingredient	30310
	nhpid_ingredient	30311
	nhpid_ingredient	30312
	nhpid_ingredient	30313
	nhpid_ingredient	30314
	nhpid_ingredient	30315
	nhpid_ingredient	30316
	nhpid_ingredient	30317
	nhpid_ingredient	30318
	nhpid_ingredient	30319
	nhpid_ingredient	30320
	nhpid_ingredient	30321
	nhpid_ingredient	30322
	nhpid_ingredient	30323
	nhpid_ingredient	30324
	nhpid_ingredient	30325
	nhpid_ingredient	30326
	nhpid_ingredient	30327
	nhpid_ingredient	30328
	nhpid_ingredient	30329
	nhpid_ingredient	30330
	nhpid_ingredient	30331
	nhpid_ingredient	30332
	nhpid_ingredient	30333
	nhpid_ingredient	30334
	nhpid_ingredient	30335
	nhpid_ingredient	30336
	nhpid_ingredient	30337
	nhpid_ingredient	30338
	nhpid_ingredient	30339
	nhpid_ingredient	30340
	nhpid_ingredient	30341
	nhpid_ingredient	30342
	nhpid_ingredient	30343
	nhpid_ingredient	30344
	nhpid_ingredient	30345
	nhpid_ingredient	30346
	nhpid_ingredient	30347
	nhpid_ingredient	30348
	nhpid_ingredient	30349
	nhpid_ingredient	30350
	nhpid_ingredient	30351
	nhpid_ingredient	30352
	nhpid_ingredient	30353
	nhpid_ingredient	30354
	nhpid_ingredient	30355
	nhpid_ingredient	30356
	nhpid_ingredient	30357
	nhpid_ingredient	30358
	nhpid_ingredient	30359
	nhpid_ingredient	30360
	nhpid_ingredient	30362
	nhpid_ingredient	30363
	nhpid_ingredient	30364
	nhpid_ingredient	30365
	nhpid_ingredient	30366
	nhpid_ingredient	30367
	nhpid_ingredient	30368
	nhpid_ingredient	30369
	nhpid_ingredient	30370
	nhpid_ingredient	30371
	nhpid_ingredient	30372
	nhpid_ingredient	30373
	nhpid_ingredient	30374
	nhpid_ingredient	30375
	nhpid_ingredient	30376
	nhpid_ingredient	30377
	nhpid_ingredient	30378
	nhpid_ingredient	30379
	nhpid_ingredient	30380
	nhpid_ingredient	30381
	nhpid_ingredient	30382
	nhpid_ingredient	30383
	nhpid_ingredient	30384
	nhpid_ingredient	30385
	nhpid_ingredient	30386
	nhpid_ingredient	30387
	nhpid_ingredient	30388
	nhpid_ingredient	30389
	nhpid_ingredient	30390
	nhpid_ingredient	30391
	nhpid_ingredient	30392
	nhpid_ingredient	30393
	nhpid_ingredient	30394
	nhpid_ingredient	30395
	nhpid_ingredient	30396
	nhpid_ingredient	30397
	nhpid_ingredient	30398
	nhpid_ingredient	30399
	nhpid_ingredient	30400
	nhpid_ingredient	30401
	nhpid_ingredient	30402
	nhpid_ingredient	30403
	nhpid_ingredient	30404
	nhpid_ingredient	30405
	nhpid_ingredient	30406
	nhpid_ingredient	30407
	nhpid_ingredient	30408
	nhpid_ingredient	30409
	nhpid_ingredient	30410
	nhpid_ingredient	30411
	nhpid_ingredient	30412
	nhpid_ingredient	30413
	nhpid_ingredient	30414
	nhpid_ingredient	30415
	nhpid_ingredient	30416
	nhpid_ingredient	30417
	nhpid_ingredient	30418
	nhpid_ingredient	30419
	nhpid_ingredient	30420
	nhpid_ingredient	30421
	nhpid_ingredient	30422
	nhpid_ingredient	30423
	nhpid_ingredient	30424
	nhpid_ingredient	30425
	nhpid_ingredient	30426
	nhpid_ingredient	30427
	nhpid_ingredient	30428
	nhpid_ingredient	30429
	nhpid_ingredient	30430
	nhpid_ingredient	30431
	nhpid_ingredient	30432
	nhpid_ingredient	30433
	nhpid_ingredient	30434
	nhpid_ingredient	30435
	nhpid_ingredient	30436
	nhpid_ingredient	30437
	nhpid_ingredient	30438
	nhpid_ingredient	30439
	nhpid_ingredient	30440
	nhpid_ingredient	30441
	nhpid_ingredient	30442
	nhpid_ingredient	30443
	nhpid_ingredient	30444
	nhpid_ingredient	30445
	nhpid_ingredient	30446
	nhpid_ingredient	30447
	nhpid_ingredient	30448
	nhpid_ingredient	30449
	nhpid_ingredient	30450
	nhpid_ingredient	30451
	nhpid_ingredient	30452
	nhpid_ingredient	30453
	nhpid_ingredient	30454
	nhpid_ingredient	30455
	nhpid_ingredient	30456
	nhpid_ingredient	30457
	nhpid_ingredient	30458
	nhpid_ingredient	30459
	nhpid_ingredient	30460
	nhpid_ingredient	30461
	nhpid_ingredient	30462
	nhpid_ingredient	30463
	nhpid_ingredient	30464
	nhpid_ingredient	30465
	nhpid_ingredient	30466
	nhpid_ingredient	30467
	nhpid_ingredient	30468
	nhpid_ingredient	30469
	nhpid_ingredient	30470
	nhpid_ingredient	30471
	nhpid_ingredient	30472
	nhpid_ingredient	30473
	nhpid_ingredient	30474
	nhpid_ingredient	30475
	nhpid_ingredient	30476
	nhpid_ingredient	30477
	nhpid_ingredient	30478
	nhpid_ingredient	30479
	nhpid_ingredient	30480
	nhpid_ingredient	30481
	nhpid_ingredient	30482
	nhpid_ingredient	30483
	nhpid_ingredient	30484
	nhpid_ingredient	30485
	nhpid_ingredient	30486
	nhpid_ingredient	30487
	nhpid_ingredient	30488
	nhpid_ingredient	30489
	nhpid_ingredient	30490
